"","Control_1","Control_2","Control_3","ZIKV_1","ZIKV_2","ZIKV_3"
"102724552",1,0,0,3,0,0
"106632271",0,0,1,1,0,0
"2023",116158,87766,62295,68170,83410,46458
"102465436",6,1,2,4,5,64
"100505975",34,21,22,23,28,15
"112268261",41,19,23,29,43,21
"155184",0,1,0,2,1,0
"6518",10,9,8,13,14,9
"80045",619,343,253,440,401,250
"106614088",671,392,322,648,731,412
"407040",4,2,1,4,5,3
"102724571",42,31,27,49,62,18
"9563",1071,715,502,634,722,442
"80176",793,593,371,909,1138,623
"100506022",9,25,5,7,5,4
"84275",425,333,213,322,294,202
"199953",978,604,489,618,593,306
"5293",369,284,167,299,290,153
"101929074",37,38,14,25,34,23
"22883",8834,5775,4041,5368,5622,3228
"56998",337,236,148,172,182,129
"105376717",41,25,23,26,36,23
"84328",1416,983,678,876,1086,535
"64802",524,350,241,331,354,170
"113391335",0,0,1,10,5,4
"100847055",1,1,1,0,1,1
"116362",8,7,4,5,3,4
"10277",1672,1167,790,842,828,509
"23095",2101,1505,994,1308,1518,854
"5226",53177,39848,27482,31112,35525,20003
"100526739",550,388,278,295,390,188
"378708",549,383,285,289,393,193
"1325",52,48,26,40,63,21
"1676",3061,2329,1654,1718,2065,1158
"5195",914,734,531,760,844,466
"54897",111,64,48,191,225,130
"105376733",0,0,0,1,1,0
"105376735",0,0,0,2,0,0
"148345",0,0,0,1,2,0
"23435",9386,6113,4519,6031,6809,3868
"10747",54,37,22,64,55,41
"6723",3538,2915,1877,2065,2835,1576
"5394",2278,1574,1159,1586,1643,892
"105376736",84,58,42,78,72,37
"2475",2850,1732,1242,1691,1728,1056
"100873935",60,25,16,35,32,26
"10218",2,1,0,0,0,1
"29914",990,656,501,633,725,381
"105376737",0,0,0,0,0,1
"105376740",2,0,0,2,2,2
"57540",10,10,1,20,14,11
"101929181",1,0,0,47,32,11
"26232",277,225,194,171,224,103
"93611",1118,852,551,608,748,454
"26270",184,148,122,521,617,308
"10459",968,885,539,666,829,419
"374946",1,4,0,0,4,4
"57085",2473,1765,1266,1395,1801,878
"284498",135,92,61,137,110,58
"4524",505,350,255,519,446,232
"1185",566,355,243,418,423,262
"100379251",106,54,35,65,67,48
"4878",25,10,13,19,22,11
"4879",2,1,1,7,9,2
"26829",3,0,3,4,1,6
"90231",2806,1815,1310,1523,1930,1099
"5351",8482,5563,3909,4638,5404,2945
"9927",3840,2556,1850,2595,2743,1531
"60672",660,495,353,585,783,365
"102466982",8,6,3,5,7,4
"943",3,0,0,6,12,10
"102465836",0,1,1,4,4,1
"7133",10,4,6,96,109,46
"55187",1253,784,559,727,869,510
"677885",15,7,6,12,9,4
"105376744",6,3,3,2,2,4
"9249",5700,4066,2872,3651,4415,2419
"102466722",4,8,2,2,7,5
"390999",0,0,0,2,0,0
"65121",0,0,0,2,1,0
"440560",0,0,0,2,1,0
"343069",1,1,0,0,1,0
"400735",0,0,0,0,2,0
"343071",1,0,0,0,1,0
"441871",0,1,0,1,1,1
"440561",0,0,0,0,1,1
"101929983",0,0,0,0,1,0
"649330",0,0,0,0,1,0
"101060301",0,0,0,0,1,0
"400736",0,0,0,0,2,0
"343068",0,0,0,1,0,0
"391002",0,1,0,1,1,0
"645382",0,0,0,0,1,0
"653619",0,0,0,0,2,3
"729528",0,0,0,1,4,1
"645414",0,0,0,1,0,1
"391004",0,0,0,1,0,0
"645425",0,0,0,1,2,0
"126755",15,10,5,17,12,11
"102724856",1,1,3,1,1,0
"107984918",2,1,1,0,1,0
"10630",1,0,1,1,1,1
"105378612",0,0,0,0,1,0
"7799",780,497,325,827,909,474
"23254",154,117,74,135,148,99
"107985467",0,0,0,0,0,1
"200197",29,27,11,28,26,17
"55092",1430,995,725,924,1092,592
"727684",12,2,5,10,8,2
"114827",23,19,12,27,18,20
"101927417",1,3,2,4,1,2
"101927441",7,2,3,5,9,6
"79180",4002,3170,2197,2330,2626,1523
"11330",4,2,2,13,21,8
"63036",1,0,1,3,3,5
"105376767",0,0,0,0,0,1
"51032",17,7,3,3,6,0
"842",747,631,447,605,698,355
"23341",1023,554,412,639,751,369
"107397391",0,1,0,0,0,0
"79814",711,521,359,307,403,229
"84301",1017,668,439,666,721,421
"6248",136,90,49,97,94,56
"23207",1858,1463,993,1760,2061,1186
"284723",55,32,20,57,62,42
"110806303",6,4,2,2,8,5
"388595",3,3,0,1,0,0
"54751",1257,963,704,872,920,544
"440567",155,123,58,97,121,52
"729614",185,149,113,158,226,112
"23013",2428,1502,1083,2001,2123,1294
"7709",868,629,457,980,1186,635
"27129",2,3,2,4,4,0
"1187",3,2,1,4,1,2
"1188",4,0,0,2,2,0
"348487",345,234,138,115,116,99
"1969",9524,6208,4671,10372,11426,6570
"101927479",46,25,17,48,79,24
"128272",257,206,127,235,266,140
"101927546",69,32,26,232,298,157
"79363",178,118,67,90,113,74
"54455",687,466,345,611,617,326
"26099",4079,3139,2313,2349,2995,1730
"374955",1719,1283,929,1013,1238,674
"55707",1327,937,703,1197,1384,724
"107984921",74,39,41,63,75,38
"114819",175,101,100,171,147,103
"26871",1,0,2,0,2,10
"107985757",0,0,0,0,1,0
"100132147",5,3,6,5,9,1
"107985758",1,0,1,0,0,0
"7195",0,0,0,7,5,2
"55672",1398,882,600,886,849,513
"84809",497,341,251,521,497,286
"11209",188,125,84,180,217,94
"107985736",11,9,6,18,22,3
"26869",1,1,1,0,2,11
"284729",2,0,0,0,2,0
"6060",1,2,1,1,3,13
"11223",36,25,18,60,43,41
"100189298",0,0,0,3,2,4
"112267871",12,6,12,10,10,8
"7193",1,0,1,2,2,1
"105376805",174,129,85,132,120,82
"791226",0,0,0,1,0,1
"26870",6,9,1,4,5,17
"9696",687,526,344,444,498,283
"4237",14,6,11,22,5,4
"105376806",3,2,2,4,2,2
"23400",2033,1313,864,1134,1206,712
"6390",2788,2165,1364,1720,2131,1100
"11240",58,37,34,22,34,14
"105376808",0,0,0,0,1,0
"29943",47,30,21,32,45,22
"51702",81,58,38,34,47,27
"100616188",3,0,0,0,0,0
"23569",0,0,0,1,1,0
"353238",0,0,0,3,1,0
"55920",4865,3445,2398,3470,3742,2213
"55160",692,424,292,338,369,258
"81569",86,45,40,45,57,29
"105376809",0,0,1,0,1,0
"84966",0,0,0,1,0,1
"127707",492,319,209,214,248,134
"5081",118,71,56,45,61,42
"8659",2258,1537,1112,1288,1480,798
"100616120",0,0,0,1,0,0
"126917",2566,1717,1304,2402,2669,1653
"105376815",6,1,1,4,3,2
"23352",6981,4417,3230,5280,5662,3532
"101927895",214,120,83,131,120,79
"23065",3828,2467,1785,2323,2588,1413
"51154",2955,2284,1593,1796,2225,1278
"246181",14,16,8,13,17,7
"22977",13,15,14,11,12,9
"100506730",58,53,45,24,47,33
"8574",1626,1292,896,972,1059,628
"54896",797,556,417,483,571,283
"832",7665,6092,4329,4636,5803,3315
"105376819",0,2,0,0,1,0
"105376818",0,0,0,0,1,0
"105376817",1,2,0,0,0,0
"105378614",0,0,0,9,10,6
"440574",1776,1414,984,1245,1447,803
"100532736",1838,1471,1005,1158,1452,800
"644068",78,42,35,61,89,43
"4681",705,511,379,399,495,282
"3362",16,13,3,6,15,7
"255104",563,392,263,397,387,208
"54546",0,0,0,0,0,1
"23252",476,295,229,478,542,320
"30814",0,0,0,0,3,1
"5320",29,23,10,14,20,16
"26279",2,0,0,2,0,1
"64600",0,0,0,1,0,0
"127733",43,71,26,20,37,21
"105376825",2,3,2,0,2,0
"105376826",1,3,1,0,1,1
"127731",1,0,0,0,4,0
"339505",2,3,0,0,1,0
"55450",4188,3086,2079,2146,2598,1303
"79594",2573,1801,1272,1511,1678,906
"163933",200,148,103,375,454,281
"978",511,368,290,329,427,206
"65018",1438,1013,725,800,874,502
"102464833",155,102,45,57,40,37
"100861548",1620,1123,811,996,1200,593
"1650",11445,7640,5257,6667,7790,4172
"57576",91,62,48,59,80,35
"400745",462,330,269,448,491,283
"50809",6883,4537,2915,4200,4412,2414
"8672",3610,2284,1613,2028,2361,1262
"105376830",5,8,9,4,7,2
"105376829",0,1,1,0,2,2
"100302155",0,1,0,1,0,0
"1889",4887,3131,2318,3524,3770,2182
"100506801",15,10,5,19,21,6
"105376832",0,0,0,1,2,2
"84224",363,243,182,387,421,244
"249",11,6,7,61,60,26
"105376834",0,0,2,4,0,0
"5909",1731,1295,882,689,897,500
"84196",2024,1403,921,1226,1316,747
"401944",2207,1559,1056,1463,1697,857
"3339",11516,6754,4868,7047,6737,4125
"23436",0,1,0,1,0,0
"10136",0,1,0,2,1,0
"101928043",14,14,13,22,18,16
"29092",690,439,328,515,557,339
"112268223",33,17,14,20,32,14
"998",7566,5373,3860,4052,5202,2916
"54361",469,292,219,252,279,143
"105376845",42,26,15,16,37,14
"105376850",2,1,1,5,6,1
"105376856",2,0,0,0,0,0
"9923",1199,713,513,872,938,557
"2046",4,0,0,5,9,7
"712",2,0,0,0,1,0
"2048",2172,1481,1048,1238,1428,836
"100422914",45,32,21,25,32,21
"646262",0,0,0,0,0,1
"729059",1,0,2,5,3,0
"23028",3590,2550,1770,2097,2220,1345
"100422866",0,0,0,0,1,0
"7798",1653,1052,859,1462,1463,760
"3352",284,216,150,164,184,131
"100996511",77,64,39,83,93,52
"10236",8828,6171,4407,5329,6171,3515
"80818",372,215,167,539,428,286
"148898",69,48,26,144,147,69
"6920",27,16,11,23,19,16
"55616",311,249,142,223,232,134
"1870",630,475,314,312,366,175
"101928163",16,10,5,9,8,3
"105376859",103,58,51,71,74,42
"3399",18257,14646,9992,18294,20014,10481
"107984928",18,13,2,14,11,1
"259283",1,3,0,3,8,5
"6135",13374,11170,7629,8723,10639,6165
"6924",1805,1309,910,1309,1547,810
"100506963",143,117,65,87,118,64
"57095",1077,807,558,751,886,430
"105376860",267,212,132,149,184,114
"11313",1957,1575,1108,1269,1474,829
"2582",2478,1933,1310,1700,1977,1052
"3155",911,688,511,738,817,418
"105376861",0,1,1,1,2,0
"2517",645,436,298,381,412,201
"1269",0,0,0,4,1,0
"55629",2312,1565,1145,2601,2574,1444
"10772",5720,3807,2757,3816,4057,2471
"105376863",9,1,0,1,2,1
"107984931",15,14,3,12,9,5
"127294",322,233,167,172,213,115
"107985737",4,6,1,0,3,1
"58985",115,97,56,447,545,268
"163702",83,55,40,88,77,43
"284632",1,1,0,4,1,2
"105376871",0,0,0,3,2,1
"57822",27,32,23,25,34,19
"90529",320,237,153,190,229,135
"57185",817,521,360,406,502,246
"100750325",3,2,4,2,3,1
"11123",716,442,333,379,446,210
"100506985",35,26,25,23,22,16
"400746",99,65,36,57,66,35
"10250",2989,2039,1469,2121,2553,1321
"25932",3751,2468,1767,3222,3111,1783
"105376876",0,0,0,2,4,0
"864",366,311,217,252,323,206
"105376878",7,1,3,6,16,1
"105376879",0,0,0,0,1,0
"25949",1478,1147,798,1204,1512,717
"57035",1952,1348,1004,3713,3980,2127
"6007",2,1,1,1,2,3
"23585",2972,2125,1447,2505,2861,1560
"6006",1284,949,599,1129,1224,659
"55219",762,542,356,496,486,275
"26119",767,497,361,363,425,259
"57134",58,34,30,13,19,9
"57190",3789,2444,1771,1856,2044,1208
"56181",830,570,435,500,625,350
"646471",230,168,113,178,189,98
"79000",357,252,213,233,274,150
"164091",819,575,375,331,476,234
"3925",6061,4539,3256,3378,3739,2252
"100500808",950,709,553,406,615,345
"105376885",0,0,1,0,0,0
"5051",709,573,379,464,475,275
"2134",4,4,3,7,12,2
"7780",0,0,0,5,1,1
"105376910",0,0,0,1,0,0
"84676",0,0,0,2,0,0
"149420",249,168,108,182,207,103
"79927",8,4,0,5,4,7
"51042",786,611,390,627,754,373
"10256",23,15,3,23,20,18
"378807",0,0,0,1,0,2
"101928303",3,1,1,0,2,3
"64793",954,620,458,611,717,456
"83442",2177,1946,1247,1475,1815,915
"91544",567,388,342,449,583,238
"1043",1,1,0,0,0,2
"55057",276,163,116,97,124,83
"79727",0,0,1,6,2,7
"79947",805,566,412,633,715,359
"101928324",11,6,2,20,8,5
"3151",11715,9399,6316,7350,8660,4922
"6195",1363,970,708,671,731,430
"100302190",1,0,0,0,0,0
"105376888",1,0,0,8,17,14
"101928728",9,14,7,73,47,24
"8289",3247,2234,1502,2156,2584,1474
"55650",785,492,348,464,507,287
"84243",1045,718,550,694,721,461
"2810",4234,3503,2480,3159,3757,2089
"54707",1012,697,565,1061,1129,606
"63906",512,378,257,396,453,266
"10726",8481,6528,4659,5433,6397,3597
"8431",0,2,0,1,3,2
"126695",2,0,0,0,7,0
"388610",5306,3795,2467,3220,3658,2364
"115572",84,67,40,94,89,47
"101928391",0,0,0,20,17,18
"6548",1166,782,582,1128,1246,704
"105376890",0,1,0,0,0,0
"23038",919,635,459,589,629,365
"84065",1038,759,574,764,906,522
"644961",24,15,18,24,28,13
"84958",67,51,44,30,48,33
"9064",732,483,349,408,560,285
"8547",2,4,2,1,6,3
"388611",0,0,0,0,1,0
"2827",52,32,28,82,81,55
"10163",2565,1876,1284,1957,2096,1134
"105376892",0,0,0,2,1,1
"27245",774,485,370,440,520,274
"2268",0,0,0,111,100,72
"111216282",0,0,0,15,16,6
"2537",411,318,203,26713,27884,13603
"199870",227,171,122,232,307,133
"23673",768,558,368,704,778,408
"5511",1432,1028,768,1106,1253,714
"677774",0,3,0,0,0,0
"9473",19,9,13,656,732,360
"6118",1568,1166,784,956,1185,595
"27293",124,79,58,82,83,34
"55113",229,170,124,151,155,78
"2140",652,407,266,547,633,306
"5724",27,15,19,15,27,11
"22826",3507,2773,1837,2105,2593,1429
"93974",2569,2178,1459,1796,2042,1144
"83667",730,480,345,1377,1391,834
"54797",718,475,359,541,621,351
"65979",1702,1151,810,2856,3021,1849
"1104",4586,3415,2423,2909,3555,2091
"8420",1863,1385,898,2249,2741,1576
"6080",67,50,24,34,41,26
"26768",54,34,21,24,31,22
"54952",421,333,248,376,421,223
"85028",569,370,289,1168,1376,742
"692212",16,9,9,71,67,48
"677838",102,77,47,71,94,46
"677825",18,10,7,24,32,16
"692073",37,21,16,39,57,33
"115273",48,22,15,33,55,32
"6883",822,621,474,658,844,379
"105378616",20,17,10,22,30,11
"26824",1,1,0,2,2,1
"10691",640,372,268,343,347,192
"51441",2527,1709,1250,2288,2489,1374
"4985",4,3,5,103,87,46
"2035",624,393,304,607,618,367
"399474",90,59,51,109,133,79
"6429",4606,3186,2384,3301,4061,2165
"51102",570,471,268,412,409,225
"10076",1450,905,684,962,1127,640
"101928460",0,0,0,1,0,0
"107984934",1,0,0,0,0,0
"4146",8,9,8,243,261,127
"100129196",27,23,15,255,258,145
"7805",2,1,2,71,62,36
"105378620",1,0,1,6,4,4
"105378621",0,0,0,22,19,14
"105378622",7,10,7,4,2,5
"400748",1,0,0,0,1,0
"9672",1142,767,530,571,713,365
"9698",2493,1566,1178,1821,1901,1073
"692234",12,4,4,5,4,5
"692235",12,3,2,3,4,2
"692200",0,1,0,0,0,0
"107984935",16,16,10,5,12,4
"79570",55,35,16,31,40,29
"9410",1772,1302,891,1077,1223,666
"51538",990,747,576,484,657,389
"2170",17,21,9,15,16,6
"105378623",1,0,0,2,1,0
"347735",3960,2983,2131,2169,2908,1608
"105378625",0,0,0,2,2,0
"105379772",0,0,0,1,1,2
"149086",0,0,0,28,46,17
"284551",0,0,0,5,4,3
"105378626",21,20,11,46,41,18
"64129",13,10,5,25,47,32
"3061",162,132,106,87,126,66
"553115",1517,1133,766,1128,1210,684
"107985471",105,70,52,98,92,43
"1307",414,306,196,347,369,195
"101929444",11,4,2,9,4,4
"576",897,590,388,495,549,308
"90853",77,75,60,77,81,34
"8073",6541,5088,3313,3897,4227,2414
"10657",6989,4963,3319,4528,4875,2867
"55116",516,428,279,410,413,231
"100847018",1,0,1,0,1,1
"23633",3216,2188,1592,1996,2358,1251
"200081",3229,2189,1601,2554,2649,1513
"79140",163,100,80,151,145,89
"56063",264,210,136,274,326,186
"55721",132,91,67,96,115,85
"149069",47,28,24,50,81,35
"8668",7275,5639,3951,4731,5431,3081
"339483",147,88,64,118,162,69
"84734",75,47,34,94,91,50
"3932",0,0,0,1,0,0
"3065",5058,3486,2432,2619,3324,1926
"65108",3763,3072,1982,2568,3261,1782
"105378629",3,1,7,20,23,12
"81629",216,128,101,215,276,164
"100128071",119,107,63,156,225,119
"55108",1417,1023,720,1265,1339,782
"728116",16,17,5,4,15,7
"653121",367,198,159,294,343,153
"102723870",22,19,11,18,27,14
"339487",750,560,430,567,658,361
"5928",3651,2519,1775,2278,2530,1434
"81493",1264,925,632,728,887,515
"57648",3287,2259,1671,2283,2461,1454
"8565",5643,4157,3053,3913,4520,2429
"64766",997,707,445,890,869,525
"252995",25,12,16,16,18,12
"105378631",3,1,1,4,4,4
"3208",25,22,19,32,49,12
"113452",1788,1505,1018,1189,1760,929
"105378632",4,3,4,4,15,3
"127544",916,668,457,2753,3243,1714
"204",5268,4156,2739,3956,4598,2476
"105378635",1,0,0,5,2,1
"113451",43,33,11,87,88,51
"55223",125,111,76,95,113,37
"149076",549,451,340,300,349,220
"127550",0,0,1,4,2,1
"1912",1403,1009,727,1516,1615,836
"100500853",63,40,27,64,53,34
"101929464",8,4,2,2,5,2
"7579",308,184,161,311,329,193
"114784",3,3,1,1,9,1
"84970",0,0,0,0,0,1
"105378642",8,0,4,14,26,7
"2709",6,8,4,5,10,6
"127534",3,4,7,5,8,2
"2707",32,19,25,29,24,15
"2701",1,0,1,1,3,0
"113444",1298,933,680,789,934,507
"58512",23,14,8,37,47,34
"653160",49,24,19,80,72,30
"100506144",559,375,265,431,476,273
"9204",514,344,232,283,314,182
"79830",654,428,293,461,447,248
"105378644",0,0,0,7,2,6
"6421",15640,10703,7569,11752,12823,6985
"9202",1928,1221,878,1481,1513,910
"100861513",27,14,11,25,22,17
"79932",2948,2013,1440,1888,2163,1148
"23154",1229,856,577,1055,1047,601
"339488",83,58,38,87,95,51
"105378645",9,9,8,14,11,8
"5690",4395,3575,2511,3332,3992,2288
"127703",934,658,487,653,719,413
"63967",2320,1492,1124,1389,1771,972
"192670",332,216,143,251,312,172
"26523",971,624,464,508,576,379
"192669",832,578,414,651,733,424
"105378647",0,0,0,11,11,2
"27285",2,2,0,7,10,1
"54936",866,641,459,1312,1401,793
"1296",2,6,2,6,2,6
"27095",1926,1513,1004,1412,1660,851
"55700",6319,4582,3159,4271,5239,3134
"9967",5842,3789,2712,3596,4076,2449
"79729",45,43,33,61,80,34
"55194",211,166,102,154,186,119
"83931",542,344,280,716,798,431
"84967",1122,846,656,780,909,533
"127700",96,63,67,130,127,84
"109616970",0,1,0,3,0,1
"107984940",1,2,0,2,1,1
"64960",1803,1424,1001,1218,1548,838
"1441",0,0,1,0,1,3
"107984941",0,0,0,1,0,3
"105378648",0,0,0,1,2,0
"2899",4,2,4,0,2,5
"107984942",0,2,0,0,2,1
"728431",343,267,163,205,264,160
"80149",802,541,369,1492,1576,771
"102465438",10,5,4,17,7,10
"64769",1275,883,676,892,956,528
"100847010",7,1,4,6,5,2
"105378649",52,37,24,46,56,30
"79753",499,356,232,555,613,323
"7802",20,13,10,22,36,12
"29889",1954,1422,977,1482,1716,907
"284654",1,0,1,1,2,1
"54955",770,587,402,613,698,417
"55143",1656,1129,771,795,870,543
"284656",89,64,46,76,84,42
"149175",1527,1074,747,799,924,516
"79693",900,585,417,722,800,483
"127687",1969,1598,961,1781,1675,885
"4520",742,486,357,642,711,440
"3633",406,285,198,327,355,225
"105378651",18,11,7,11,13,13
"10946",3467,2463,1842,2248,2686,1546
"2275",120,118,63,156,176,113
"51118",1168,884,615,852,973,555
"5453",4,0,0,13,18,10
"105378653",0,0,0,3,1,0
"105378655",0,0,0,0,1,0
"105378654",0,0,0,0,0,1
"64121",748,515,379,615,604,327
"100527950",531,396,292,344,360,207
"26292",523,392,290,333,350,197
"105378663",3,1,1,4,3,3
"81025",7,2,2,10,9,8
"54933",69,66,28,76,85,45
"105378662",18,17,7,24,21,16
"79647",2271,1580,1121,2195,2659,1363
"4725",5727,4848,3320,3611,4750,2309
"23499",5411,3293,2466,4866,4890,3058
"353500",302,184,152,244,285,153
"192217",4,3,3,5,2,2
"728448",312,191,160,239,330,148
"8761",4912,3412,2331,3366,3690,2138
"101929516",776,564,410,498,605,333
"677834",5,4,2,16,11,5
"26508",222,158,115,119,122,85
"51440",9,2,5,10,17,7
"10450",1556,1088,859,1034,1275,652
"656",581,360,236,250,312,156
"64064",12,5,7,5,7,4
"101929536",16,6,10,4,9,5
"107985740",6,0,1,7,6,5
"105378667",3,0,1,0,4,1
"54802",608,489,315,512,552,327
"4610",42,31,18,97,115,56
"105378668",4,5,1,7,12,5
"84879",221,168,132,516,560,330
"105378669",4,7,1,18,10,6
"10487",7536,5501,3639,4346,4896,2973
"5538",6292,4498,3105,3553,3938,2137
"105378671",0,0,0,0,1,0
"6018",587,399,244,549,574,336
"127391",0,0,0,0,1,0
"10269",4496,2946,1994,2522,2841,1565
"1298",8,8,2,12,23,18
"64744",493,324,268,350,362,234
"65243",89,75,58,62,59,39
"339559",10,1,4,8,9,7
"105378672",20,10,8,8,13,6
"64789",175,120,93,132,166,79
"127396",97,56,60,68,72,30
"105378673",0,0,0,2,0,0
"9783",179,85,76,89,83,67
"105378675",2,3,1,0,2,0
"100130557",168,105,86,216,253,133
"4802",1490,1086,807,1094,1320,716
"407031",2,0,0,0,0,1
"9132",7,6,6,15,11,7
"105378676",0,0,0,2,2,1
