"","WT_Mock_1","WT_Mock_2","WT_Mock_3","KO_Mock_1","KO_Mock_2","KO_Mock_3","WT_ZIKV_1","WT_ZIKV_2","WT_ZIKV_3","KO_ZIKV_1","KO_ZIKV_2","KO_ZIKV_3"
"54587",277,176,168,117,98,152,214,274,131,127,151,163
"54998",3661,3123,2060,2594,2021,2873,2754,2988,1663,1384,2106,1774
"81669",5293,3345,2596,4085,3676,5250,4670,5250,2818,4332,6163,4826
"148413",991,827,538,654,581,861,697,854,456,410,641,554
"55052",1892,1540,974,1323,1069,1577,1393,1607,827,799,1191,1002
"441869",1,1,2,1,2,5,31,10,9,8,13,6
"105378585",0,0,1,0,1,0,3,3,7,6,5,2
"643965",0,0,0,2,0,0,0,0,0,0,0,0
"102724312",1,2,1,0,0,1,0,0,0,0,1,1
"107985729",2,2,1,2,0,1,1,1,1,1,1,1
"64856",1038,755,440,289,246,372,442,549,310,119,156,126
"219293",24,17,11,14,14,26,25,15,12,12,16,14
"83858",205,149,117,181,143,205,162,164,98,118,154,144
"55210",1645,1258,935,1421,1178,1749,1181,1327,779,856,1275,1105
"339453",21,9,3,13,9,13,14,19,7,11,15,11
"29101",4193,3184,2011,3251,2370,3966,2412,2927,1672,1773,2439,1983
"643988",293,248,119,201,158,227,137,130,74,60,99,76
"105378586",41,39,20,44,19,38,17,25,19,11,20,17
"142678",1259,849,617,923,783,1175,1038,1293,671,816,1227,966
"8510",113,88,66,68,57,92,88,102,64,39,76,68
"984",3130,2329,1699,2087,1695,2517,2280,2953,1477,1577,2281,1849
"728661",1653,1027,715,866,876,1258,1024,1132,590,706,947,861
"8511",19,11,7,7,8,15,9,10,9,10,12,11
"728642",2307,1763,1317,1691,1353,1942,1966,2334,1314,1463,2062,1622
"9906",758,478,361,428,396,596,485,601,304,336,489,385
"112268218",155,106,82,129,105,143,147,166,101,84,117,97
"65220",2205,1557,1167,1620,1393,1995,1766,2058,1205,1074,1521,1223
"2782",12560,8516,5978,7597,6308,9864,7460,8070,4734,4511,6271,5300
"105378949",7,4,4,5,2,9,5,9,4,3,1,3
"163688",28,13,10,20,31,9,23,23,9,30,35,24
"339456",17,3,4,11,2,6,10,8,5,7,8,5
"85452",3,1,0,0,0,0,1,1,0,4,7,1
"107984872",0,0,0,0,0,0,0,0,0,0,0,1
"105378589",0,0,0,0,0,1,0,2,1,0,1,3
"2563",19,17,8,4,8,7,5,22,4,6,3,1
"105378591",4,0,0,0,0,4,0,4,1,0,4,0
"5590",924,626,459,565,440,613,614,705,408,490,739,567
"100506504",61,52,32,42,17,33,25,43,16,38,38,31
"199990",1094,895,587,851,674,913,811,963,440,493,799,694
"112268219",82,64,35,59,63,70,49,65,41,41,58,50
"105378593",10,9,8,9,6,9,6,13,2,3,5,4
"6497",1205,815,593,858,728,1091,828,844,531,866,1139,871
"79906",289,192,132,212,203,275,230,284,157,198,284,243
"100129534",52,38,51,55,51,69,40,57,26,63,65,78
"11079",4480,3150,2277,2777,2284,3367,2780,3051,1644,1565,2346,1901
"5192",868,683,462,645,537,760,622,694,318,352,531,415
"9651",76,41,33,37,24,61,50,66,35,33,50,35
"55229",886,618,395,483,432,617,593,662,370,338,502,379
"388585",0,0,0,0,0,0,1,0,0,0,0,0
"115110",0,0,0,0,0,1,8,4,2,7,7,3
"8764",1,1,0,2,2,6,21,22,8,6,8,13
"100996583",0,1,0,0,0,0,1,2,0,1,2,2
"127281",952,741,465,584,452,669,503,559,333,280,368,300
"79258",122,95,70,82,67,98,58,71,48,39,53,35
"105378597",2,3,0,0,1,1,2,7,1,1,2,0
"100287898",23,13,8,5,13,15,32,32,14,12,12,21
"140625",0,0,0,0,0,0,3,0,1,0,0,1
"440556",0,0,1,1,1,3,14,5,2,3,10,4
"63976",21,5,1,17,9,22,31,25,27,28,32,34
"105378606",0,0,0,0,0,1,0,1,0,0,1,0
"107984909",0,0,0,0,0,1,2,6,0,1,1,3
"105378605",0,0,0,0,0,0,0,2,1,0,0,0
"105378604",0,1,0,1,0,0,1,0,1,0,0,1
"27237",353,208,157,268,214,313,203,222,108,151,231,210
"1953",266,196,151,745,725,999,190,236,100,500,759,565
"105378608",3,0,0,3,2,1,0,2,0,4,1,0
"693135",0,1,0,1,0,0,0,0,0,0,0,0
"127262",975,733,501,763,597,822,544,550,312,373,503,409
"49856",658,402,349,431,353,534,426,542,286,221,329,256
"7161",39,28,15,16,12,11,27,38,20,15,19,9
"105378610",0,0,0,0,3,0,0,2,0,0,0,0
"57212",940,634,450,566,540,770,742,780,466,456,702,546
"148870",3,1,0,0,0,3,2,0,1,1,1,1
"388588",20,8,7,9,6,9,24,19,5,8,5,6
"57470",2510,1824,1228,1654,1290,1993,1598,1775,1043,1122,1543,1315
"9731",1410,921,678,766,701,1038,1001,1168,678,725,968,820
"1677",252,130,94,121,129,154,114,136,72,73,100,71
"339448",1061,729,535,749,698,934,646,744,414,467,606,502
"100133612",16,10,13,11,6,10,11,12,10,9,15,7
"728716",0,0,0,0,0,0,0,0,0,0,1,0
"105376672",0,0,0,0,0,0,0,1,0,2,0,0
"105376673",0,0,0,0,0,0,2,1,0,2,2,1
"284661",1,0,0,0,0,0,0,0,0,0,0,0
"105376674",0,0,0,0,0,0,0,0,0,0,0,3
"55966",0,0,1,0,0,0,0,1,1,0,0,0
"107984911",0,1,1,0,0,0,3,3,6,0,0,0
"100616421",0,0,0,0,0,0,0,0,0,2,0,0
"261734",462,372,241,352,333,455,298,292,197,305,408,335
"8514",787,549,354,1000,911,1250,367,444,264,426,600,496
"26038",28,27,13,246,192,308,39,43,29,163,258,183
"6146",11640,9573,6632,9720,8175,11228,7468,8397,4704,4940,7304,6187
"102724450",40,29,12,8,11,11,22,43,17,21,43,21
"388591",1100,741,568,694,661,950,879,1115,542,606,852,694
"23463",6684,4731,3296,4084,3459,5256,3214,3725,2193,1690,2479,2074
"148645",53,27,26,33,15,23,36,36,19,16,31,24
"390992",0,0,0,1,0,0,0,0,0,0,0,0
"387509",111,84,53,81,60,61,52,79,24,35,50,30
"11332",2462,2022,1259,1407,1166,1598,1765,2190,1061,827,1153,979
"54626",43,26,15,30,26,39,26,30,19,17,40,29
"83715",10,5,5,20,5,10,29,23,16,18,20,13
"100422975",0,0,0,0,0,0,0,0,0,1,0,0
"8718",70,47,32,53,46,92,23,47,28,38,61,51
"57449",147,111,80,134,144,167,77,100,50,123,180,131
"79707",1278,791,612,938,840,1217,810,1006,571,652,938,814
"80835",0,0,1,0,1,0,6,4,1,2,1,4
"107984912",0,0,0,0,0,0,1,0,0,0,1,0
"3104",471,342,257,431,323,451,602,701,377,555,802,666
"9903",1003,669,506,808,754,1025,1002,1058,606,1041,1463,1138
"107984913",17,8,5,4,7,3,9,18,6,3,6,5
"148479",750,511,359,598,492,736,430,556,311,264,359,316
"90326",1152,850,620,796,706,1008,975,1049,591,651,940,729
"55735",2824,1949,1370,1887,1670,2307,1930,1941,1141,1210,1661,1442
"110841581",21,14,3,11,9,14,31,48,29,13,25,31
"23261",1286,1131,733,903,695,958,926,1220,599,569,818,774
"101928836",1,0,0,1,0,0,1,0,0,0,2,2
"105376689",22,14,10,10,8,9,35,45,23,18,37,18
"9341",2430,1785,1266,1537,1345,1956,1551,1722,943,879,1317,1073
"8863",107,74,37,61,78,117,43,51,31,65,99,71
"10911",3,1,3,2,2,1,30,28,28,50,72,45
"3604",36,19,23,51,46,60,304,328,191,575,826,672
"11315",10617,8145,5702,8004,6436,9187,6658,7809,4232,3895,5724,4775
"54206",3230,2070,1466,1876,1728,2366,3120,3470,1852,2426,3234,2774
"107984915",0,1,0,1,0,0,0,4,5,3,4,2
"105376695",1,1,0,0,0,1,0,1,0,1,1,1
"50651",176,124,88,75,69,96,93,135,65,22,37,34
"473",1683,1053,748,898,894,1310,1147,1319,751,872,1214,932
"102724552",1,0,0,0,2,1,3,0,0,0,1,0
"106632271",0,0,1,0,2,0,1,0,0,0,0,0
"2023",116158,87766,62295,85043,69457,99707,68170,83410,46458,38068,56386,48571
"102465436",6,1,2,3,5,8,4,5,64,2,4,4
"100505975",34,21,22,21,16,28,23,28,15,11,22,22
"112268261",41,19,23,24,15,23,29,43,21,12,12,15
"765",0,0,0,0,0,1,0,0,0,0,1,1
"155184",0,1,0,1,0,0,2,1,0,0,0,1
"6518",10,9,8,10,16,9,13,14,9,21,29,21
"80045",619,343,253,214,198,303,440,401,250,202,230,214
"106614088",671,392,322,387,382,547,648,731,412,474,676,558
"407040",4,2,1,2,2,4,4,5,3,5,4,7
"102724571",42,31,27,23,26,23,49,62,18,30,48,29
"9563",1071,715,502,653,666,957,634,722,442,479,754,612
"80176",793,593,371,375,315,486,909,1138,623,508,688,592
"100506022",9,25,5,12,9,11,7,5,4,4,8,5
"84275",425,333,213,283,245,358,322,294,202,288,361,337
"199953",978,604,489,551,519,750,618,593,306,253,361,343
"105376712",0,0,0,0,0,0,0,0,0,0,0,1
"5293",369,284,167,232,203,297,299,290,153,341,490,381
"101929074",37,38,14,56,38,60,25,34,23,29,50,27
"22883",8834,5775,4041,5463,4870,7168,5368,5622,3228,3198,4629,3831
"56998",337,236,148,230,172,319,172,182,129,146,166,162
"105376717",41,25,23,37,33,44,26,36,23,21,24,29
"84328",1416,983,678,904,761,1111,876,1086,535,677,963,791
"64802",524,350,241,410,383,548,331,354,170,367,540,444
"113391335",0,0,1,2,4,2,10,5,4,0,9,6
"100847055",1,1,1,0,0,1,0,1,1,1,1,0
"116362",8,7,4,3,2,0,5,3,4,0,4,3
"10277",1672,1167,790,963,839,1228,842,828,509,534,743,574
"23095",2101,1505,994,1328,1223,1678,1308,1518,854,1012,1344,1103
"5226",53177,39848,27482,30895,27316,37697,31112,35525,20003,12985,20238,16175
"100526739",550,388,278,369,289,454,295,390,188,191,280,234
"378708",549,383,285,375,302,448,289,393,193,199,271,233
"1325",52,48,26,33,29,52,40,63,21,18,36,30
"1676",3061,2329,1654,2275,2191,2972,1718,2065,1158,1318,1761,1540
"5195",914,734,531,694,620,796,760,844,466,519,752,525
"54897",111,64,48,57,44,82,191,225,130,122,135,131
"105376733",0,0,0,0,0,0,1,1,0,0,0,0
"105376735",0,0,0,0,0,0,2,0,0,0,0,0
"148345",0,0,0,0,0,0,1,2,0,1,1,1
"23435",9386,6113,4519,6553,5086,8061,6031,6809,3868,3785,5372,4453
"10747",54,37,22,29,37,30,64,55,41,58,70,36
"6723",3538,2915,1877,2990,2287,3620,2065,2835,1576,1526,2325,2021
"5394",2278,1574,1159,1564,1340,1975,1586,1643,892,968,1579,1242
"105376736",84,58,42,65,48,92,78,72,37,47,57,43
"2475",2850,1732,1242,1683,1575,2315,1691,1728,1056,1210,1695,1452
"100873935",60,25,16,28,20,45,35,32,26,21,29,25
"10218",2,1,0,0,1,2,0,0,1,1,0,0
"29914",990,656,501,673,564,925,633,725,381,429,665,535
"105376737",0,0,0,0,0,0,0,0,1,0,0,0
"105376740",2,0,0,1,1,0,2,2,2,0,1,5
"57540",10,10,1,4,4,8,20,14,11,17,24,27
"101929181",1,0,0,0,0,0,47,32,11,23,36,25
"26232",277,225,194,102,68,102,171,224,103,44,83,63
"93611",1118,852,551,572,533,728,608,748,454,271,398,376
"26270",184,148,122,79,71,101,521,617,308,118,179,143
"10459",968,885,539,664,514,750,666,829,419,347,463,383
"374946",1,4,0,7,1,0,0,4,4,0,2,2
"57085",2473,1765,1266,1260,1085,1525,1395,1801,878,641,1017,833
"284498",135,92,61,65,73,72,137,110,58,90,116,105
"4524",505,350,255,278,249,306,519,446,232,328,452,392
"1185",566,355,243,411,401,592,418,423,262,356,506,424
"100379251",106,54,35,78,58,107,65,67,48,61,85,62
"4878",25,10,13,17,12,17,19,22,11,8,30,19
"4879",2,1,1,2,2,1,7,9,2,6,13,9
"26829",3,0,3,3,2,0,4,1,6,1,4,1
"90231",2806,1815,1310,1673,1349,2212,1523,1930,1099,951,1356,1070
"5351",8482,5563,3909,5901,5337,7557,4638,5404,2945,3036,4462,3725
"9927",3840,2556,1850,2397,2175,3036,2595,2743,1531,1589,2303,1978
"60672",660,495,353,554,460,649,585,783,365,505,728,558
"102466982",8,6,3,1,3,4,5,7,4,5,5,4
"943",3,0,0,1,2,5,6,12,10,7,14,8
"102465836",0,1,1,0,0,0,4,4,1,3,2,1
"7133",10,4,6,2,1,22,96,109,46,44,65,58
"55187",1253,784,559,577,472,761,727,869,510,449,649,546
"677885",15,7,6,8,1,6,12,9,4,3,4,3
"105376744",6,3,3,3,0,2,2,2,4,1,6,1
"9249",5700,4066,2872,3313,2737,3838,3651,4415,2419,2220,3596,2793
"102466722",4,8,2,4,13,8,2,7,5,4,5,4
"93190",0,0,0,0,0,0,0,0,0,0,0,1
"390999",0,0,0,0,0,0,2,0,0,0,0,1
"65121",0,0,0,0,0,0,2,1,0,1,1,0
"440560",0,0,0,0,0,0,2,1,0,0,0,1
"343069",1,1,0,0,0,0,0,1,0,0,0,0
"65122",0,0,0,0,0,0,0,0,0,2,0,2
"400735",0,0,0,0,0,0,0,2,0,0,2,0
"343071",1,0,0,0,0,0,0,1,0,1,0,0
"441871",0,1,0,0,0,0,1,1,1,0,0,2
"440561",0,0,0,0,0,0,0,1,1,1,0,2
"101929983",0,0,0,0,0,0,0,1,0,1,0,1
"649330",0,0,0,0,0,0,0,1,0,0,0,2
"649324",0,0,0,0,0,0,0,0,0,1,0,0
"645354",0,0,0,0,0,0,0,0,0,1,0,0
"101060301",0,0,0,0,0,0,0,1,0,0,0,2
"343070",0,0,0,0,0,0,0,0,0,1,2,0
"400736",0,0,0,0,0,0,0,2,0,1,2,2
"343068",0,0,0,0,0,0,1,0,0,0,1,0
"391002",0,1,0,0,0,0,1,1,0,0,1,1
"645382",0,0,0,0,0,0,0,1,0,1,2,1
"653619",0,0,0,0,0,0,0,2,3,4,2,2
"729528",0,0,0,0,0,0,1,4,1,6,6,4
"645414",0,0,0,0,0,0,1,0,1,1,0,0
"391004",0,0,0,0,0,0,1,0,0,0,1,0
"645425",0,0,0,0,0,0,1,2,0,4,0,0
"126755",15,10,5,3,0,0,17,12,11,1,1,1
"102724856",1,1,3,0,0,0,1,1,0,0,0,2
"107984918",2,1,1,1,0,0,0,1,0,0,1,0
"10630",1,0,1,1,0,0,1,1,1,0,1,0
"105378612",0,0,0,0,0,0,0,1,0,0,0,3
"7799",780,497,325,464,443,652,827,909,474,703,943,766
"23254",154,117,74,151,124,169,135,148,99,160,194,170
"107985467",0,0,0,0,0,0,0,0,1,0,0,0
"105376762",0,0,0,0,2,0,0,0,0,3,3,0
"107985469",0,0,0,0,0,0,0,0,0,0,1,0
"200197",29,27,11,20,16,8,28,26,17,17,31,14
"55092",1430,995,725,977,780,1194,924,1092,592,795,1179,907
"727684",12,2,5,7,3,3,10,8,2,8,4,9
"114827",23,19,12,20,4,13,27,18,20,43,57,63
"101927417",1,3,2,5,3,4,4,1,2,3,1,7
"101927441",7,2,3,2,6,3,5,9,6,7,10,6
"79180",4002,3170,2197,2637,2144,3259,2330,2626,1523,1600,1992,1761
"11330",4,2,2,2,1,2,13,21,8,9,9,10
"63036",1,0,1,0,0,0,3,3,5,1,1,0
"105376767",0,0,0,0,0,0,0,0,1,0,0,0
"51032",17,7,3,0,5,2,3,6,0,2,3,2
"842",747,631,447,260,238,321,605,698,355,191,265,234
"23341",1023,554,412,512,482,699,639,751,369,424,584,503
"107397391",0,1,0,0,0,1,0,0,0,0,1,0
"79814",711,521,359,428,387,587,307,403,229,264,335,255
"84301",1017,668,439,637,518,804,666,721,421,491,629,562
"6248",136,90,49,90,84,102,97,94,56,67,98,76
"23207",1858,1463,993,1544,1287,1851,1760,2061,1186,1701,2338,2013
"284723",55,32,20,34,30,44,57,62,42,49,90,81
"110806303",6,4,2,4,2,7,2,8,5,9,6,6
"388595",3,3,0,0,0,0,1,0,0,0,3,2
"54751",1257,963,704,609,609,857,872,920,544,640,992,919
"440567",155,123,58,97,67,102,97,121,52,52,83,80
"729614",185,149,113,112,110,128,158,226,112,122,177,152
"23013",2428,1502,1083,1448,1466,1985,2001,2123,1294,2000,2540,2119
"7709",868,629,457,697,616,874,980,1186,635,1059,1515,1208
"149563",0,0,0,0,0,1,0,0,0,1,0,0
"27129",2,3,2,0,0,2,4,4,0,2,3,4
"1187",3,2,1,2,1,0,4,1,2,8,5,4
"1188",4,0,0,0,0,0,2,2,0,1,4,2
"348487",345,234,138,117,92,103,115,116,99,50,62,52
"1969",9524,6208,4671,5607,5250,7548,10372,11426,6570,8021,11497,9245
"101927479",46,25,17,28,40,32,48,79,24,39,71,69
"128272",257,206,127,172,141,218,235,266,140,144,236,197
"101927546",69,32,26,8,11,20,232,298,157,31,48,49
"79363",178,118,67,84,63,95,90,113,74,62,104,84
"54455",687,466,345,419,377,521,611,617,326,492,661,511
"26099",4079,3139,2313,2542,2177,3027,2349,2995,1730,1342,1971,1633
"374955",1719,1283,929,1088,931,1309,1013,1238,674,533,795,652
"55707",1327,937,703,1011,899,1299,1197,1384,724,1072,1610,1393
"107984921",74,39,41,53,41,71,63,75,38,34,53,38
"114819",175,101,100,86,98,156,171,147,103,105,135,103
"26871",1,0,2,1,0,1,0,2,10,0,1,2
"107985757",0,0,0,0,0,0,0,1,0,0,0,0
"100132147",5,3,6,4,5,3,5,9,1,12,5,4
"107985758",1,0,1,0,1,1,0,0,0,0,1,1
"7195",0,0,0,0,0,0,7,5,2,5,2,1
"55672",1398,882,600,990,921,1304,886,849,513,797,1040,844
"84809",497,341,251,332,356,445,521,497,286,383,533,431
"11209",188,125,84,110,88,142,180,217,94,107,128,92
"107985736",11,9,6,9,3,8,18,22,3,9,17,13
"26869",1,1,1,0,0,0,0,2,11,1,1,1
"284729",2,0,0,0,0,0,0,2,0,0,0,0
"6060",1,2,1,0,0,0,1,3,13,5,2,0
"11223",36,25,18,14,19,21,60,43,41,29,25,25
"100189298",0,0,0,0,0,0,3,2,4,0,5,1
"112267871",12,6,12,6,9,12,10,10,8,9,4,7
"7193",1,0,1,1,1,1,2,2,1,0,0,0
"105376805",174,129,85,89,58,93,132,120,82,57,72,71
"791226",0,0,0,0,0,0,1,0,1,1,2,0
"26870",6,9,1,1,3,0,4,5,17,2,6,3
"9696",687,526,344,430,364,528,444,498,283,275,392,314
"4237",14,6,11,47,44,77,22,5,4,31,36,44
"105376806",3,2,2,8,12,13,4,2,2,7,9,12
"23400",2033,1313,864,1179,1074,1598,1134,1206,712,742,1116,914
"6390",2788,2165,1364,1835,1489,2192,1720,2131,1100,1046,1416,1293
"11240",58,37,34,101,107,126,22,34,14,44,47,69
"105376808",0,0,0,0,0,0,0,1,0,0,0,0
"400743",0,0,0,7,7,4,0,0,0,4,5,0
"29943",47,30,21,68,52,86,32,45,22,51,89,59
"51702",81,58,38,73,57,110,34,47,27,22,38,40
"100616188",3,0,0,0,0,0,0,0,0,0,0,0
"23569",0,0,0,0,0,2,1,1,0,0,0,1
"353238",0,0,0,0,0,0,3,1,0,0,1,0
"55920",4865,3445,2398,3675,3258,4782,3470,3742,2213,2261,3137,2649
"55160",692,424,292,309,270,393,338,369,258,202,312,241
"81569",86,45,40,31,25,39,45,57,29,10,14,13
"105376809",0,0,1,0,0,0,0,1,0,0,0,1
"84966",0,0,0,0,0,0,1,0,1,2,0,0
"127707",492,319,209,312,294,435,214,248,134,137,190,134
"5081",118,71,56,20,16,24,45,61,42,6,23,12
"8659",2258,1537,1112,1182,918,1390,1288,1480,798,533,823,694
"100616120",0,0,0,0,0,0,1,0,0,0,0,0
"100302276",0,0,0,0,1,0,0,0,0,0,1,0
"126917",2566,1717,1304,1419,1385,1936,2402,2669,1653,2320,3133,2516
"105376815",6,1,1,1,1,4,4,3,2,2,0,3
"23352",6981,4417,3230,3604,3306,4851,5280,5662,3532,3486,4766,4000
"101927895",214,120,83,113,117,182,131,120,79,90,118,92
"23065",3828,2467,1785,2331,2186,3201,2323,2588,1413,1429,2023,1697
"51154",2955,2284,1593,2538,2123,2990,1796,2225,1278,1377,1939,1720
"246181",14,16,8,7,8,10,13,17,7,5,19,12
"22977",13,15,14,11,11,9,11,12,9,6,10,2
"100506730",58,53,45,49,57,58,24,47,33,17,35,20
"8574",1626,1292,896,887,749,1094,972,1059,628,429,588,459
"54896",797,556,417,474,403,571,483,571,283,266,443,298
"832",7665,6092,4329,5643,4839,6707,4636,5803,3315,3196,4641,3900
"105376819",0,2,0,0,0,1,0,1,0,4,1,0
"105376818",0,0,0,0,0,0,0,1,0,0,0,0
"105376817",1,2,0,0,0,0,0,0,0,0,0,0
"105378614",0,0,0,0,0,0,9,10,6,3,6,3
"440574",1776,1414,984,1271,954,1379,1245,1447,803,712,1024,896
"100532736",1838,1471,1005,1277,976,1478,1158,1452,800,696,1011,876
"644068",78,42,35,44,34,99,61,89,43,72,55,54
"4681",705,511,379,446,368,557,399,495,282,235,356,311
"3362",16,13,3,3,10,7,6,15,7,6,3,2
"255104",563,392,263,350,253,450,397,387,208,187,275,216
"54546",0,0,0,3,0,0,0,0,1,0,0,0
"105376823",0,0,0,4,0,1,0,0,0,0,1,0
"23252",476,295,229,265,242,354,478,542,320,494,621,514
"30814",0,0,0,0,0,0,0,3,1,0,0,0
"5320",29,23,10,0,0,0,14,20,16,0,6,0
"5322",0,0,0,0,0,0,0,0,0,1,0,0
"26279",2,0,0,0,0,0,2,0,1,1,4,9
"64600",0,0,0,0,0,0,1,0,0,0,0,2
"127733",43,71,26,0,0,1,20,37,21,0,1,0
"105376825",2,3,2,0,0,0,0,2,0,0,0,0
"105376826",1,3,1,0,0,1,0,1,1,0,0,0
"127731",1,0,0,0,0,0,0,4,0,3,1,1
"339505",2,3,0,0,0,0,0,1,0,0,0,1
"55450",4188,3086,2079,376,291,502,2146,2598,1303,248,370,323
"79594",2573,1801,1272,1457,1261,1855,1511,1678,906,860,1330,1099
"163933",200,148,103,96,80,108,375,454,281,397,500,340
"978",511,368,290,11,11,19,329,427,206,13,15,18
"65018",1438,1013,725,597,435,688,800,874,502,435,617,469
"102464833",155,102,45,45,25,71,57,40,37,46,25,30
"100861548",1620,1123,811,826,687,967,996,1200,593,471,774,609
"1650",11445,7640,5257,6445,5436,8043,6667,7790,4172,3756,5511,4418
"57576",91,62,48,47,61,77,59,80,35,50,69,45
"400745",462,330,269,424,381,515,448,491,283,458,796,573
"50809",6883,4537,2915,3979,3837,5554,4200,4412,2414,2970,4226,3283
"8672",3610,2284,1613,1740,1757,2525,2028,2361,1262,1418,1950,1552
"105376830",5,8,9,4,4,7,4,7,2,5,7,3
"105376829",0,1,1,1,3,3,0,2,2,1,5,1
"100302155",0,1,0,1,0,0,1,0,0,0,0,0
"1889",4887,3131,2318,3381,2977,4452,3524,3770,2182,2182,3354,2806
"100506801",15,10,5,10,12,20,19,21,6,19,30,16
"105376832",0,0,0,0,0,0,1,2,2,3,2,1
"84224",363,243,182,265,207,357,387,421,244,356,490,401
"249",11,6,7,7,3,10,61,60,26,130,198,131
"105376834",0,0,2,0,0,0,4,0,0,1,0,1
"5909",1731,1295,882,249,249,370,689,897,500,184,240,187
"84196",2024,1403,921,1072,889,1313,1226,1316,747,755,1033,813
"401944",2207,1559,1056,999,884,1264,1463,1697,857,676,1098,818
"3339",11516,6754,4868,4597,4612,6637,7047,6737,4125,3508,4990,3948
"23436",0,1,0,0,0,0,1,0,0,0,1,0
"10136",0,1,0,0,0,0,2,1,0,0,2,3
"101928043",14,14,13,15,12,21,22,18,16,13,12,12
"29092",690,439,328,450,380,544,515,557,339,312,469,414
"112268223",33,17,14,14,11,18,20,32,14,22,24,16
"998",7566,5373,3860,4419,3590,5553,4052,5202,2916,2537,3521,3043
"54361",469,292,219,25,27,30,252,279,143,18,37,28
"105376845",42,26,15,1,4,6,16,37,14,12,14,13
